mmu-miR-7119-3p	miR-7119-3p
bbe-miR-22-5p	bbe-miR-22-5p
bbe-miR-242-5p	bbe-miR-242-5p
bbe-miR-252a-3p	bbe-miR-252a-3p
bbe-miR-252a-5p	bbe-miR-252a-5p
bbe-miR-252b-3p	bbe-miR-252b-3p
bbe-miR-252b-5p	bbe-miR-252b-5p
bbe-miR-278-5p	bbe-miR-278-5p
bbe-miR-281-3p	bbe-miR-281-3p
bbe-miR-281-5p	bbe-miR-281-5p
bbe-miR-29a-3p	bbe-miR-29a-3p
bbe-miR-29a-5p	bbe-miR-29a-5p
bbe-miR-29b-3p	bbe-miR-29b-3p
bbe-miR-29b-5p	bbe-miR-29b-5p
bbe-miR-31-3p	bbe-miR-31-3p
bbe-miR-31-5p	bbe-miR-31-5p
bbe-miR-33-2-3p	bbe-miR-33-2-3p
bbe-miR-33-3p	bbe-miR-33-3p
bbe-miR-33-5p	bbe-miR-33-5p
bbe-miR-34a-5p	bbe-miR-34a-5p
bbe-miR-34b-3p	bbe-miR-34b-3p
bbe-miR-34b-5p	bbe-miR-34b-5p
bbe-miR-34c-5p	bbe-miR-34c-5p
bbe-miR-34d-5p	bbe-miR-34d-5p
bbe-miR-34f-5p	bbe-miR-34f-5p
bbe-miR-34g-5p	bbe-miR-34g-5p
bbe-miR-34h-5p	bbe-miR-34h-5p
bbe-miR-375-3p	bbe-miR-375-3p
bbe-miR-4057-3p	bbe-miR-4057-3p
bbe-miR-4856a-3p	bbe-miR-4856a-3p
bbe-miR-4856a-5p	bbe-miR-4856a-5p
bbe-miR-4857-3p	bbe-miR-4857-3p
bbe-miR-4857-5p	bbe-miR-4857-5p
bbe-miR-4859-3p	bbe-miR-4859-3p
bbe-miR-4859-5p	bbe-miR-4859-5p
bbe-miR-4860-3p	bbe-miR-4860-3p
bbe-miR-4860-5p	bbe-miR-4860-5p
bbe-miR-4861-3p	bbe-miR-4861-3p
bbe-miR-4863-3p	bbe-miR-4863-3p
bbe-miR-4863-5p	bbe-miR-4863-5p
bbe-miR-4864-3p	bbe-miR-4864-3p
bbe-miR-4864-5p	bbe-miR-4864-5p
bbe-miR-4865-3p	bbe-miR-4865-3p
bbe-miR-4865-5p	bbe-miR-4865-5p
bbe-miR-4866-3p	bbe-miR-4866-3p
bbe-miR-4866-5p	bbe-miR-4866-5p
bbe-miR-4867-3p	bbe-miR-4867-3p
bbe-miR-4868a-3p	bbe-miR-4868a-3p
bbe-miR-4868b-3p	bbe-miR-4868b-3p
bbe-miR-4868c-3p	bbe-miR-4868c-3p
bbe-miR-4868c-5p	bbe-miR-4868c-5p
bbe-miR-4869-3p	bbe-miR-4869-3p
bbe-miR-4869-5p	bbe-miR-4869-5p
bbe-miR-4873-5p	bbe-miR-4873-5p
bbe-miR-4874-3p	bbe-miR-4874-3p
bbe-miR-4874-5p	bbe-miR-4874-5p
bbe-miR-4876-3p	bbe-miR-4876-3p
bbe-miR-4877-3p	bbe-miR-4877-3p
bbe-miR-4878-5p	bbe-miR-4878-5p
bbe-miR-4879-5p	bbe-miR-4879-5p
bbe-miR-4880-5p	bbe-miR-4880-5p
bbe-miR-4887-5p	bbe-miR-4887-5p
bbe-miR-4888-5p	bbe-miR-4888-5p
bbe-miR-4889b-3p	bbe-miR-4889b-3p
bbe-miR-4890-5p	bbe-miR-4890-5p
bbe-miR-4891-3p	bbe-miR-4891-3p
bbe-miR-4891-5p	bbe-miR-4891-5p
bbe-miR-4899-5p	bbe-miR-4899-5p
bbe-miR-4904-3p	bbe-miR-4904-3p
bbe-miR-4904-5p	bbe-miR-4904-5p
bbe-miR-4928-3p	bbe-miR-4928-3p
bbe-miR-705-5p	bbe-miR-705-5p
bbe-miR-71-3p	bbe-miR-71-3p
bbe-miR-71-5p	bbe-miR-71-5p
bbe-miR-7-3p	bbe-miR-7-3p
bbe-miR-7-5p	bbe-miR-7-5p
bbe-miR-92a-3p	bbe-miR-92a-3p
bbe-miR-92a-5p	bbe-miR-92a-5p
bbe-miR-92b-3p	bbe-miR-92b-3p
bbe-miR-92b-5p	bbe-miR-92b-5p
bbe-miR-92c-3p	bbe-miR-92c-3p
bbe-miR-92d-3p	bbe-miR-92d-3p
bbe-miR-92d-5p	bbe-miR-92d-5p
bbe-miR-9-3p	bbe-miR-9-3p
bbe-miR-9-5p	bbe-miR-9-5p
bbe-miR-96-3p	bbe-miR-96-3p
bbe-miR-96-5p	bbe-miR-96-5p
bcy-miR156	bcy-miR156
bcy-miR396a	bcy-miR396a
bcy-miR396b	bcy-miR396b
bcy-miR529	bcy-miR529
bdi-miR1122	bdi-miR1122
bdi-miR1127	bdi-miR1127
bdi-miR1135	bdi-miR1135
bdi-miR1139	bdi-miR1139
bdi-miR1432	bdi-miR1432
bdi-miR156a	bdi-miR156a
bdi-miR156b-3p	bdi-miR156b-3p
bdi-miR156b-5p	bdi-miR156b-5p
bdi-miR156c	bdi-miR156c
bdi-miR156d-3p	bdi-miR156d-3p
bdi-miR156d-5p	bdi-miR156d-5p
bdi-miR156e-3p	bdi-miR156e-3p
bdi-miR156e-5p	bdi-miR156e-5p
bdi-miR156f-3p	bdi-miR156f-3p
bdi-miR156f-5p	bdi-miR156f-5p
bdi-miR156g-3p	bdi-miR156g-3p
bdi-miR156g-5p	bdi-miR156g-5p
bdi-miR156h-3p	bdi-miR156h-3p
bdi-miR156h-5p	bdi-miR156h-5p
bdi-miR156i-3p	bdi-miR156i-3p
bdi-miR156i-5p	bdi-miR156i-5p
bdi-miR156j	bdi-miR156j
bdi-miR159a-3p	bdi-miR159a-3p
bdi-miR159a-5p	bdi-miR159a-5p
bdi-miR159b-3p.1	bdi-miR159b-3p.1
bdi-miR159b-3p.2	bdi-miR159b-3p.2
bdi-miR159b-3p.3	bdi-miR159b-3p.3
bdi-miR159b-5p.1	bdi-miR159b-5p.1
bdi-miR159b-5p.2	bdi-miR159b-5p.2
bdi-miR159b-5p.3	bdi-miR159b-5p.3
bdi-miR159c	bdi-miR159c
bdi-miR160a-3p	bdi-miR160a-3p
bdi-miR160a-5p	bdi-miR160a-5p
bdi-miR160b-3p	bdi-miR160b-3p
bdi-miR160b-5p	bdi-miR160b-5p
bdi-miR160c-3p	bdi-miR160c-3p
bdi-miR160c-5p	bdi-miR160c-5p
bdi-miR160d-3p	bdi-miR160d-3p
bdi-miR160d-5p	bdi-miR160d-5p
bdi-miR160e-3p	bdi-miR160e-3p
bdi-miR160e-5p	bdi-miR160e-5p
bdi-miR160f	bdi-miR160f
bdi-miR162	bdi-miR162
bdi-miR164a-3p	bdi-miR164a-3p
bdi-miR164a-5p	bdi-miR164a-5p
bdi-miR164b	bdi-miR164b
bdi-miR164c-3p	bdi-miR164c-3p
bdi-miR164c-5p	bdi-miR164c-5p
bdi-miR164e	bdi-miR164e
bdi-miR164f	bdi-miR164f
bdi-miR166a-3p	bdi-miR166a-3p
bdi-miR166a-5p	bdi-miR166a-5p
bdi-miR166b-3p	bdi-miR166b-3p
bdi-miR166b-5p	bdi-miR166b-5p
bdi-miR166c-3p	bdi-miR166c-3p
bdi-miR166c-5p	bdi-miR166c-5p
bdi-miR166d-3p	bdi-miR166d-3p
bdi-miR166d-5p	bdi-miR166d-5p
bdi-miR166e-3p	bdi-miR166e-3p
bdi-miR166e-5p	bdi-miR166e-5p
bdi-miR166f	bdi-miR166f
bdi-miR166g-3p	bdi-miR166g-3p
bdi-miR166g-5p	bdi-miR166g-5p
bdi-miR166h-3p	bdi-miR166h-3p
bdi-miR166h-5p	bdi-miR166h-5p
bdi-miR166i-3p	bdi-miR166i-3p
bdi-miR166i-5p	bdi-miR166i-5p
bdi-miR166j	bdi-miR166j
bdi-miR167a	bdi-miR167a
bdi-miR167b	bdi-miR167b
bdi-miR167c-3p	bdi-miR167c-3p
bdi-miR167c-5p	bdi-miR167c-5p
bdi-miR167d-3p	bdi-miR167d-3p
bdi-miR167d-5p	bdi-miR167d-5p
bdi-miR167e-3p	bdi-miR167e-3p
bdi-miR167e-5p	bdi-miR167e-5p
bdi-miR167f	bdi-miR167f
bdi-miR167g	bdi-miR167g
bdi-miR168-3p	bdi-miR168-3p
bdi-miR168-5p	bdi-miR168-5p
bdi-miR169a-3p	bdi-miR169a-3p
bdi-miR169a-5p	bdi-miR169a-5p
bdi-miR169b	bdi-miR169b
bdi-miR169c-3p	bdi-miR169c-3p
bdi-miR169c-5p	bdi-miR169c-5p
bdi-miR169d	bdi-miR169d
bdi-miR169e-3p	bdi-miR169e-3p
bdi-miR169e-5p	bdi-miR169e-5p
bdi-miR169f	bdi-miR169f
bdi-miR169g	bdi-miR169g
bdi-miR169h-3p	bdi-miR169h-3p
bdi-miR169h-5p	bdi-miR169h-5p
bdi-miR169i	bdi-miR169i
bdi-miR169j-3p	bdi-miR169j-3p
bdi-miR169j-5p	bdi-miR169j-5p
bdi-miR169k-3p	bdi-miR169k-3p
bdi-miR169k-5p	bdi-miR169k-5p
bdi-miR169l	bdi-miR169l
bdi-miR169m	bdi-miR169m
bdi-miR169n	bdi-miR169n
bdi-miR171a	bdi-miR171a
bdi-miR171b	bdi-miR171b
bdi-miR171c-3p	bdi-miR171c-3p
bdi-miR171c-5p	bdi-miR171c-5p
bdi-miR171d-3p	bdi-miR171d-3p
bdi-miR171d-5p	bdi-miR171d-5p
bdi-miR171e	bdi-miR171e
bdi-miR171f	bdi-miR171f
bdi-miR172a-3p	bdi-miR172a-3p
bdi-miR172a-5p	bdi-miR172a-5p
bdi-miR172b	bdi-miR172b
bdi-miR172d	bdi-miR172d
bdi-miR1878-3p	bdi-miR1878-3p
bdi-miR1878-5p	bdi-miR1878-5p
bdi-miR2118a	bdi-miR2118a
bdi-miR2118b	bdi-miR2118b
bdi-miR2275a	bdi-miR2275a
bdi-miR2275b	bdi-miR2275b
bdi-miR2275c	bdi-miR2275c
bdi-miR319a	bdi-miR319a
bdi-miR319b-3p	bdi-miR319b-3p
bdi-miR319b-5p	bdi-miR319b-5p
bdi-miR390a-3p	bdi-miR390a-3p
bdi-miR390a-5p	bdi-miR390a-5p
bdi-miR393a	bdi-miR393a
bdi-miR393b-3p	bdi-miR393b-3p
bdi-miR393b-5p	bdi-miR393b-5p
bdi-miR394	bdi-miR394
bdi-miR395a	bdi-miR395a
bdi-miR395b	bdi-miR395b
bdi-miR395c-3p	bdi-miR395c-3p
bdi-miR395c-5p	bdi-miR395c-5p
bdi-miR395d-3p	bdi-miR395d-3p
bdi-miR395d-5p	bdi-miR395d-5p
bdi-miR395e-3p	bdi-miR395e-3p
bdi-miR395e-5p	bdi-miR395e-5p
bdi-miR395f-3p	bdi-miR395f-3p
bdi-miR395f-5p	bdi-miR395f-5p
bdi-miR395g-3p	bdi-miR395g-3p
bdi-miR395g-5p	bdi-miR395g-5p
bdi-miR395h-3p	bdi-miR395h-3p
bdi-miR395h-5p	bdi-miR395h-5p
bdi-miR395j-3p	bdi-miR395j-3p
bdi-miR395j-5p	bdi-miR395j-5p
bdi-miR395k-3p	bdi-miR395k-3p
bdi-miR395k-5p	bdi-miR395k-5p
bdi-miR395l-3p	bdi-miR395l-3p
bdi-miR395l-5p	bdi-miR395l-5p
bdi-miR395m	bdi-miR395m
bdi-miR395n-3p	bdi-miR395n-3p
bdi-miR395n-5p	bdi-miR395n-5p
bdi-miR395o-3p	bdi-miR395o-3p
bdi-miR395o-5p	bdi-miR395o-5p
bdi-miR395p-3p	bdi-miR395p-3p
bdi-miR395p-5p	bdi-miR395p-5p
bdi-miR395q	bdi-miR395q
bdi-miR396a-3p	bdi-miR396a-3p
bdi-miR396a-5p	bdi-miR396a-5p
bdi-miR396b-3p	bdi-miR396b-3p
bdi-miR396b-5p	bdi-miR396b-5p
bdi-miR396c-3p	bdi-miR396c-3p
bdi-miR396c-5p	bdi-miR396c-5p
bdi-miR396d-3p	bdi-miR396d-3p
bdi-miR396d-5p	bdi-miR396d-5p
bdi-miR396e-3p	bdi-miR396e-3p
bdi-miR396e-5p	bdi-miR396e-5p
bdi-miR397a	bdi-miR397a
bdi-miR397b-3p	bdi-miR397b-3p
bdi-miR397b-5p	bdi-miR397b-5p
bdi-miR398a	bdi-miR398a
bdi-miR398b	bdi-miR398b
bdi-miR399a	bdi-miR399a
bdi-miR399b	bdi-miR399b
bdi-miR399c	bdi-miR399c
bdi-miR399d	bdi-miR399d
bdi-miR408-3p	bdi-miR408-3p
bdi-miR408-5p	bdi-miR408-5p
bdi-miR437	bdi-miR437
bdi-miR444a	bdi-miR444a
bdi-miR444b	bdi-miR444b
bdi-miR444c	bdi-miR444c
bdi-miR444d	bdi-miR444d
bdi-miR5049-3p	bdi-miR5049-3p
bdi-miR5049-5p	bdi-miR5049-5p
bdi-miR5054	bdi-miR5054
bdi-miR5055	bdi-miR5055
bdi-miR5056	bdi-miR5056
bdi-miR5057	bdi-miR5057
bdi-miR5058	bdi-miR5058
bdi-miR5059	bdi-miR5059
bdi-miR5060	bdi-miR5060
bdi-miR5061	bdi-miR5061
bdi-miR5062a	bdi-miR5062a
bdi-miR5063	bdi-miR5063
bdi-miR5064	bdi-miR5064
bdi-miR5065	bdi-miR5065
bdi-miR5066	bdi-miR5066
bdi-miR5067	bdi-miR5067
bdi-miR5068	bdi-miR5068
bdi-miR5069	bdi-miR5069
bdi-miR5070	bdi-miR5070
bdi-miR5163a-3p	bdi-miR5163a-3p
bdi-miR5163a-5p	bdi-miR5163a-5p
bdi-miR5163b-3p	bdi-miR5163b-3p
bdi-miR5163b-5p	bdi-miR5163b-5p
bdi-miR5164	bdi-miR5164
bdi-miR5165-3p	bdi-miR5165-3p
bdi-miR5165-5p	bdi-miR5165-5p
bdi-miR5166	bdi-miR5166
bdi-miR5167a-3p	bdi-miR5167a-3p
bdi-miR5167a-5p	bdi-miR5167a-5p
bdi-miR5167b-3p	bdi-miR5167b-3p
bdi-miR5167b-5p	bdi-miR5167b-5p
bdi-miR5169a	bdi-miR5169a
bdi-miR5169b	bdi-miR5169b
bdi-miR5170	bdi-miR5170
bdi-miR5171a	bdi-miR5171a
bdi-miR5171b	bdi-miR5171b
bdi-miR5172-3p	bdi-miR5172-3p
bdi-miR5172-5p	bdi-miR5172-5p
bdi-miR5173-3p	bdi-miR5173-3p
bdi-miR5173-5p	bdi-miR5173-5p
bdi-miR5174a	bdi-miR5174a
bdi-miR5174b-3p	bdi-miR5174b-3p
bdi-miR5174b-5p	bdi-miR5174b-5p
bdi-miR5174c-3p	bdi-miR5174c-3p
bdi-miR5174c-5p	bdi-miR5174c-5p
bdi-miR5174d-3p	bdi-miR5174d-3p
bdi-miR5174d-5p	bdi-miR5174d-5p
bdi-miR5174e-3p.1	bdi-miR5174e-3p.1
bdi-miR5174e-3p.2	bdi-miR5174e-3p.2
bdi-miR5174e-5p.1	bdi-miR5174e-5p.1
bdi-miR5174e-5p.2	bdi-miR5174e-5p.2
bdi-miR5174f	bdi-miR5174f
bdi-miR5175a	bdi-miR5175a
bdi-miR5175b	bdi-miR5175b
bdi-miR5176-3p	bdi-miR5176-3p
bdi-miR5176-5p	bdi-miR5176-5p
bdi-miR5177	bdi-miR5177
bdi-miR5178-3p	bdi-miR5178-3p
bdi-miR5178-5p	bdi-miR5178-5p
bdi-miR5179	bdi-miR5179
bdi-miR5180a	bdi-miR5180a
bdi-miR5180b	bdi-miR5180b
bdi-miR5181a-3p	bdi-miR5181a-3p
bdi-miR5181a-5p	bdi-miR5181a-5p
bdi-miR5181b	bdi-miR5181b
bdi-miR5181c-3p	bdi-miR5181c-3p
bdi-miR5181c-5p	bdi-miR5181c-5p
bdi-miR5181d	bdi-miR5181d
bdi-miR5181e	bdi-miR5181e
bdi-miR5182	bdi-miR5182
bdi-miR5183	bdi-miR5183
bdi-miR5184	bdi-miR5184
bdi-miR5185a-3p	bdi-miR5185a-3p
bdi-miR5185a-5p	bdi-miR5185a-5p
bdi-miR5185b-3p	bdi-miR5185b-3p
bdi-miR5185b-5p	bdi-miR5185b-5p
bdi-miR5185c-3p	bdi-miR5185c-3p
bdi-miR5185c-5p	bdi-miR5185c-5p
bdi-miR5185d-3p	bdi-miR5185d-3p
bdi-miR5185d-5p	bdi-miR5185d-5p
bdi-miR5185e-3p	bdi-miR5185e-3p
bdi-miR5185e-5p	bdi-miR5185e-5p
bdi-miR5185f-3p	bdi-miR5185f-3p
bdi-miR5185f-5p	bdi-miR5185f-5p
bdi-miR5185g-3p	bdi-miR5185g-3p
bdi-miR5185g-5p	bdi-miR5185g-5p
bdi-miR5185h-3p	bdi-miR5185h-3p
bdi-miR5185h-5p	bdi-miR5185h-5p
bdi-miR5185i-3p	bdi-miR5185i-3p
bdi-miR5185i-5p	bdi-miR5185i-5p
bdi-miR5185j-3p	bdi-miR5185j-3p
bdi-miR5185j-5p	bdi-miR5185j-5p
bdi-miR5185k-3p	bdi-miR5185k-3p
bdi-miR5185k-5p	bdi-miR5185k-5p
bdi-miR5185l-3p	bdi-miR5185l-3p
bdi-miR5185l-5p	bdi-miR5185l-5p
bdi-miR5185m-3p	bdi-miR5185m-3p
bdi-miR5185m-5p	bdi-miR5185m-5p
bdi-miR5198	bdi-miR5198
bdi-miR5199	bdi-miR5199
bdi-miR5200a-3p	bdi-miR5200a-3p
bdi-miR5200a-5p	bdi-miR5200a-5p
bdi-miR5200b-3p	bdi-miR5200b-3p
bdi-miR5200b-5p	bdi-miR5200b-5p
bdi-miR5200c	bdi-miR5200c
bdi-miR5201-3p	bdi-miR5201-3p
bdi-miR5201-5p	bdi-miR5201-5p
bdi-miR5202	bdi-miR5202
bdi-miR5281a	bdi-miR5281a
bdi-miR5281b	bdi-miR5281b
bdi-miR528-3p	bdi-miR528-3p
bdi-miR528-5p	bdi-miR528-5p
bdi-miR529-3p	bdi-miR529-3p
bdi-miR529-5p	bdi-miR529-5p
bdi-miR530a	bdi-miR530a
bdi-miR530b	bdi-miR530b
bdi-miR531	bdi-miR531
bdi-miR7707-3p	bdi-miR7707-3p
bdi-miR7707-5p	bdi-miR7707-5p
bdi-miR7708a-3p	bdi-miR7708a-3p
bdi-miR7708a-5p	bdi-miR7708a-5p
bdi-miR7708b-3p	bdi-miR7708b-3p
bdi-miR7708b-5p	bdi-miR7708b-5p
bdi-miR7709-3p	bdi-miR7709-3p
bdi-miR7709-5p	bdi-miR7709-5p
bdi-miR7710-3p	bdi-miR7710-3p
bdi-miR7710-5p	bdi-miR7710-5p
bdi-miR7711-3p.1	bdi-miR7711-3p.1
bdi-miR7711-3p.3	bdi-miR7711-3p.3
bdi-miR7711-3p.4	bdi-miR7711-3p.4
bdi-miR7711-5p.1	bdi-miR7711-5p.1
bdi-miR7711-5p.2	bdi-miR7711-5p.2
bdi-miR7711-5p.3	bdi-miR7711-5p.3
bdi-miR7711-5p.4	bdi-miR7711-5p.4
bdi-miR7712-3p	bdi-miR7712-3p
bdi-miR7712-5p	bdi-miR7712-5p
bdi-miR7713-3p	bdi-miR7713-3p
bdi-miR7713-5p	bdi-miR7713-5p
bdi-miR7714-3p	bdi-miR7714-3p
bdi-miR7714-5p	bdi-miR7714-5p
bdi-miR7715-3p	bdi-miR7715-3p
bdi-miR7715-5p	bdi-miR7715-5p
bdi-miR7716-3p	bdi-miR7716-3p
bdi-miR7716-5p	bdi-miR7716-5p
bdi-miR7717a-3p	bdi-miR7717a-3p
bdi-miR7717a-5p	bdi-miR7717a-5p
bdi-miR7717b-3p	bdi-miR7717b-3p
bdi-miR7717b-5p	bdi-miR7717b-5p
bdi-miR7717c-3p	bdi-miR7717c-3p
bdi-miR7717c-5p	bdi-miR7717c-5p
bdi-miR7718-3p	bdi-miR7718-3p
bdi-miR7718-5p	bdi-miR7718-5p
bdi-miR7719-3p	bdi-miR7719-3p
bdi-miR7719-5p	bdi-miR7719-5p
bdi-miR7720-3p	bdi-miR7720-3p
bdi-miR7720-5p	bdi-miR7720-5p
bdi-miR7721-3p	bdi-miR7721-3p
bdi-miR7721-5p	bdi-miR7721-5p
bdi-miR7722-3p	bdi-miR7722-3p
bdi-miR7722-5p	bdi-miR7722-5p
bdi-miR7723a-3p	bdi-miR7723a-3p
bdi-miR7723a-5p	bdi-miR7723a-5p
bdi-miR7723b-3p	bdi-miR7723b-3p
bdi-miR7723b-5p	bdi-miR7723b-5p
bdi-miR7724a-3p	bdi-miR7724a-3p
bdi-miR7724a-5p	bdi-miR7724a-5p
bdi-miR7724b-3p	bdi-miR7724b-3p
bdi-miR7724b-5p	bdi-miR7724b-5p
bdi-miR7725a-3p	bdi-miR7725a-3p
bdi-miR7725a-5p	bdi-miR7725a-5p
bdi-miR7725b-3p.1	bdi-miR7725b-3p.1
bdi-miR7725b-3p.2	bdi-miR7725b-3p.2
bdi-miR7725b-5p.1	bdi-miR7725b-5p.1
bdi-miR7725b-5p.2	bdi-miR7725b-5p.2
bdi-miR7726a-3p	bdi-miR7726a-3p
bdi-miR7726a-5p	bdi-miR7726a-5p
bdi-miR7726b-3p	bdi-miR7726b-3p
bdi-miR7726b-5p	bdi-miR7726b-5p
bdi-miR7727-3p	bdi-miR7727-3p
bdi-miR7727-5p	bdi-miR7727-5p
bdi-miR7728-3p	bdi-miR7728-3p
bdi-miR7728-5p	bdi-miR7728-5p
bdi-miR7729a-3p	bdi-miR7729a-3p
bdi-miR7729a-5p	bdi-miR7729a-5p
bdi-miR7729b-3p	bdi-miR7729b-3p
bdi-miR7729b-5p	bdi-miR7729b-5p
bdi-miR7730-3p	bdi-miR7730-3p
bdi-miR7730-5p	bdi-miR7730-5p
bdi-miR7731-3p	bdi-miR7731-3p
bdi-miR7731-5p	bdi-miR7731-5p
bdi-miR7732-3p	bdi-miR7732-3p
bdi-miR7732-5p	bdi-miR7732-5p
bdi-miR7733-3p	bdi-miR7733-3p
bdi-miR7733-5p	bdi-miR7733-5p
bdi-miR7734-3p	bdi-miR7734-3p
bdi-miR7734-5p	bdi-miR7734-5p
bdi-miR7735-3p	bdi-miR7735-3p
bdi-miR7735-5p	bdi-miR7735-5p
bdi-miR7736-3p	bdi-miR7736-3p
bdi-miR7736-5p	bdi-miR7736-5p
bdi-miR7737-3p	bdi-miR7737-3p
bdi-miR7737-5p	bdi-miR7737-5p
bdi-miR7738-3p	bdi-miR7738-3p
bdi-miR7738-5p	bdi-miR7738-5p
bdi-miR7739-3p	bdi-miR7739-3p
bdi-miR7739-5p	bdi-miR7739-5p
bdi-miR7740-3p	bdi-miR7740-3p
bdi-miR7740-5p	bdi-miR7740-5p
bdi-miR7741-3p.1	bdi-miR7741-3p.1
bdi-miR7741-3p.2	bdi-miR7741-3p.2
bdi-miR7741-5p.1	bdi-miR7741-5p.1
bdi-miR7741-5p.2	bdi-miR7741-5p.2
bdi-miR7742-3p	bdi-miR7742-3p
bdi-miR7742-5p	bdi-miR7742-5p
bdi-miR7743-3p	bdi-miR7743-3p
bdi-miR7743-5p	bdi-miR7743-5p
bdi-miR7744-3p	bdi-miR7744-3p
bdi-miR7744-5p	bdi-miR7744-5p
bdi-miR7745-3p	bdi-miR7745-3p
bdi-miR7745-5p	bdi-miR7745-5p
bdi-miR7746-3p	bdi-miR7746-3p
bdi-miR7746-5p	bdi-miR7746-5p
bdi-miR7747-3p	bdi-miR7747-3p
bdi-miR7747-5p	bdi-miR7747-5p
bdi-miR7748a-3p	bdi-miR7748a-3p
bdi-miR7748a-5p	bdi-miR7748a-5p
bdi-miR7748b-3p	bdi-miR7748b-3p
bdi-miR7748b-5p	bdi-miR7748b-5p
bdi-miR7749-3p	bdi-miR7749-3p
bdi-miR7749-5p	bdi-miR7749-5p
bdi-miR7750-3p	bdi-miR7750-3p
bdi-miR7750-5p	bdi-miR7750-5p
bdi-miR7751-3p	bdi-miR7751-3p
bdi-miR7751-5p	bdi-miR7751-5p
bdi-miR7752-3p	bdi-miR7752-3p
bdi-miR7752-5p	bdi-miR7752-5p
bdi-miR7753-3p	bdi-miR7753-3p
bdi-miR7753-5p	bdi-miR7753-5p
bdi-miR7754-3p	bdi-miR7754-3p
bdi-miR7754-5p	bdi-miR7754-5p
bdi-miR7755-3p	bdi-miR7755-3p
bdi-miR7755-5p	bdi-miR7755-5p
bdi-miR7756-3p	bdi-miR7756-3p
bdi-miR7756-5p	bdi-miR7756-5p
bdi-miR7757-3p.1	bdi-miR7757-3p.1
bdi-miR7757-3p.2	bdi-miR7757-3p.2
bdi-miR7757-5p.1	bdi-miR7757-5p.1
bdi-miR7757-5p.2	bdi-miR7757-5p.2
bdi-miR7758-3p	bdi-miR7758-3p
bdi-miR7758-5p	bdi-miR7758-5p
bdi-miR7759-3p	bdi-miR7759-3p
bdi-miR7759-5p	bdi-miR7759-5p
bdi-miR7760-3p	bdi-miR7760-3p
bdi-miR7760-5p	bdi-miR7760-5p
bdi-miR7761-3p	bdi-miR7761-3p
bdi-miR7761-5p	bdi-miR7761-5p
bdi-miR7762-3p	bdi-miR7762-3p
bdi-miR7762-5p	bdi-miR7762-5p
bdi-miR7763-3p	bdi-miR7763-3p
bdi-miR7763-5p	bdi-miR7763-5p
bdi-miR7764-3p	bdi-miR7764-3p
bdi-miR7764-5p	bdi-miR7764-5p
bdi-miR7765-3p	bdi-miR7765-3p
bdi-miR7765-5p	bdi-miR7765-5p
bdi-miR7766-3p	bdi-miR7766-3p
bdi-miR7766-5p	bdi-miR7766-5p
bdi-miR7767-3p	bdi-miR7767-3p
bdi-miR7767-5p	bdi-miR7767-5p
bdi-miR7768a-3p	bdi-miR7768a-3p
bdi-miR7768a-5p	bdi-miR7768a-5p
bdi-miR7768b-3p	bdi-miR7768b-3p
bdi-miR7768b-5p	bdi-miR7768b-5p
bdi-miR7769-3p	bdi-miR7769-3p
bdi-miR7769-5p	bdi-miR7769-5p
bdi-miR7770-3p	bdi-miR7770-3p
bdi-miR7770-5p	bdi-miR7770-5p
bdi-miR7771-3p	bdi-miR7771-3p
bdi-miR7771-5p	bdi-miR7771-5p
bdi-miR7772-3p	bdi-miR7772-3p
bdi-miR7772-5p	bdi-miR7772-5p
bdi-miR7773-3p	bdi-miR7773-3p
bdi-miR7773-5p	bdi-miR7773-5p
bdi-miR7774-3p	bdi-miR7774-3p
bdi-miR7774-5p	bdi-miR7774-5p
bdi-miR7775-3p	bdi-miR7775-3p
bdi-miR7775-5p	bdi-miR7775-5p
bdi-miR7776-3p.1	bdi-miR7776-3p.1
bdi-miR7776-3p.2	bdi-miR7776-3p.2
bdi-miR7776-5p.1	bdi-miR7776-5p.1
bdi-miR7776-5p.2	bdi-miR7776-5p.2
bdi-miR7777-3p.1	bdi-miR7777-3p.1
bdi-miR7777-3p.2	bdi-miR7777-3p.2
bdi-miR7777-5p.1	bdi-miR7777-5p.1
bdi-miR7777-5p.2	bdi-miR7777-5p.2
bdi-miR7778-3p	bdi-miR7778-3p
bdi-miR7778-5p	bdi-miR7778-5p
bdi-miR7779-3p	bdi-miR7779-3p
bdi-miR7779-5p	bdi-miR7779-5p
bdi-miR7780-3p	bdi-miR7780-3p
bdi-miR7780-5p	bdi-miR7780-5p
bdi-miR7781-3p	bdi-miR7781-3p
bdi-miR7781-5p	bdi-miR7781-5p
bdi-miR7782-3p	bdi-miR7782-3p
bdi-miR7782-5p	bdi-miR7782-5p
bdi-miR7783-3p	bdi-miR7783-3p
bdi-miR7783-5p	bdi-miR7783-5p
bdi-miR7784a-3p	bdi-miR7784a-3p
bdi-miR7784a-5p	bdi-miR7784a-5p
bdi-miR7784b-3p	bdi-miR7784b-3p
bdi-miR7784b-5p	bdi-miR7784b-5p
bdi-miR7785-3p	bdi-miR7785-3p
bdi-miR7785-5p	bdi-miR7785-5p
bdi-miR7786-3p	bdi-miR7786-3p
bdi-miR7786-5p	bdi-miR7786-5p
bdi-miR7787-3p	bdi-miR7787-3p
bdi-miR7787-5p	bdi-miR7787-5p
